datetime,device,temperature,humidity
2026-03-19 23:56:16,防水温湿度計 箱の外 上,16.6,46
2026-03-19 23:56:16,防水温湿度計 上,15.5,65
2026-03-19 23:56:16,防水温湿度計 下,15.4,63
2026-03-20 05:08:02,防水温湿度計 箱の外 上,23,30
2026-03-20 05:08:02,防水温湿度計 上,19.3,57
2026-03-20 05:08:02,防水温湿度計 下,21.4,50
2026-03-20 07:51:35,防水温湿度計 箱の外 上,24.2,26
2026-03-20 07:51:35,防水温湿度計 上,24.9,78
2026-03-20 07:51:35,防水温湿度計 下,24.8,78
2026-03-20 10:01:15,防水温湿度計 箱の外 上,20.5,28
2026-03-20 10:01:15,防水温湿度計 上,24.6,80
2026-03-20 10:01:15,防水温湿度計 下,23.5,86
2026-03-20 11:46:39,防水温湿度計 箱の外 上,18.4,29
2026-03-20 11:46:39,防水温湿度計 上,23.4,80
2026-03-20 11:46:39,防水温湿度計 下,22.3,88
2026-03-20 14:12:44,防水温湿度計 箱の外 上,17.8,31
2026-03-20 14:12:44,防水温湿度計 上,22.8,81
2026-03-20 14:12:44,防水温湿度計 下,21.8,90
2026-03-20 16:09:14,防水温湿度計 箱の外 上,16.9,30
2026-03-20 16:09:14,防水温湿度計 上,22.3,80
2026-03-20 16:09:14,防水温湿度計 下,21.3,91
2026-03-20 17:57:12,防水温湿度計 箱の外 上,16.9,29
2026-03-20 17:57:12,防水温湿度計 上,22.3,81
2026-03-20 17:57:12,防水温湿度計 下,21.3,92
2026-03-20 19:50:47,防水温湿度計 箱の外 上,16.1,30
2026-03-20 19:50:47,防水温湿度計 上,21.9,81
2026-03-20 19:50:47,防水温湿度計 下,20.8,93
2026-03-20 21:01:59,防水温湿度計 箱の外 上,15.7,30
2026-03-20 21:01:59,防水温湿度計 上,21.7,81
2026-03-20 21:01:59,防水温湿度計 下,20.6,93
2026-03-20 21:57:25,防水温湿度計 箱の外 上,15.5,31
2026-03-20 21:57:25,防水温湿度計 上,21.5,81
2026-03-20 21:57:25,防水温湿度計 下,20.4,93
2026-03-20 22:59:59,防水温湿度計 箱の外 上,15.8,30
2026-03-20 22:59:59,防水温湿度計 上,21.5,82
2026-03-20 22:59:59,防水温湿度計 下,20.4,94
2026-03-20 23:55:11,防水温湿度計 箱の外 上,16.2,31
2026-03-20 23:55:11,防水温湿度計 上,21.5,82
2026-03-20 23:55:11,防水温湿度計 下,20.6,94
2026-03-21 04:53:52,防水温湿度計 箱の外 上,20.8,27
2026-03-21 04:53:52,防水温湿度計 上,23.2,86
2026-03-21 04:53:52,防水温湿度計 下,22.8,95
2026-03-21 07:10:28,防水温湿度計 箱の外 上,22.4,25
2026-03-21 07:10:28,防水温湿度計 上,24.1,87
2026-03-21 07:10:28,防水温湿度計 下,23.9,96
2026-03-21 07:57:59,防水温湿度計 箱の外 上,22.4,24
2026-03-21 07:57:59,防水温湿度計 上,24.4,88
2026-03-21 07:57:59,防水温湿度計 下,23.9,96
2026-03-21 09:02:43,防水温湿度計 箱の外 上,21.4,24
2026-03-21 09:02:43,防水温湿度計 上,24.4,87
2026-03-21 09:02:43,防水温湿度計 下,23.7,96
2026-03-21 09:57:23,防水温湿度計 箱の外 上,19.9,25
2026-03-21 09:57:23,防水温湿度計 上,23.8,86
2026-03-21 09:57:23,防水温湿度計 下,23.1,96
